"""ClassificationCode""","""ClassificationCode"" Descriptions"
AC53,WEAPONS (ADVANCED)
AC54,WEAPONS (ENGINEERING)
AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)
AC55,WEAPONS (OPERATIONAL)
AC55,R&D- DEFENSE SYSTEM: WEAPONS (OPERATIONAL SYSTEMS DEVELOPMENT)
AC56,R&D- DEFENSE SYSTEM: WEAPONS (MANAGEMENT/SUPPORT)
AC56,WEAPONS (MANAGEMENT/SUPPORT)
AC57,R&D- DEFENSE SYSTEM: WEAPONS (COMMERCIALIZED)
AC57,R&D-WEAPONS-COMERCLIZ
AC60,R&D-ELECTRONICS & COMM EQ
AC61,R&D-ELECTRONICS & COMM EQ-B RES
AC61,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)
AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC62,R&D-ELECTRONICS & COMM EQ-A RES/EXP
AC63,R&D-ELECTRONICS & COMM EQ-ADV DEV
AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)
AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)
AC64,R&D-ELECTRONICS & COMM EQ-ENG DEV
AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AC65,R&D-ELECTRONICS & COMM EQ-OPSY DEV
AC66,R&D-ELECTRONICS & COMM EQ-MGMT SUP
AC66,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT)
AC67,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)
AC67,R&D-ELECTRONICS & COMM EQ-COMERCLIZ
AC90,R&D-MISC HARD GOODS
AC91,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (BASIC RESEARCH)
AC91,R&D-MISC HARD GOODS-B RES
AC92,R&D-MISC HARD GOODS-A RES/EXPL DEV
AC92,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AC93,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT)
AC93,R&D-MISC HARD GOODS-ADV DEV
AC94,R&D-MISC HARD GOODS-ENG DEV
AC94,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT)
AC95,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT)
AC95,R&D-MISC HARD GOODS-OPSY DEV
AC96,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (MANAGEMENT/SUPPORT)
AC96,R&D-MISC HARD GOODS-MGMT SUP
AC97,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (COMMERCIALIZED)
AC97,R&D-MISC HARD GOODS-COMERCLIZ
AD,DEFENSE (OTHER) R&D
AD10,R&D-AMMUNITION
AD11,R&D- DEFENSE OTHER: AMMUNITION (BASIC RESEARCH)
AD11,AMMUNITION (BASIC)
AD12,R&D- DEFENSE OTHER: AMMUNITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD12,AMMUNITION (APPLIED/EXPLORATORY)
AD13,R&D- DEFENSE OTHER: AMMUNITION (ADVANCED DEVELOPMENT)
AD13,AMMUNITION (ADVANCED)
AD14,R&D- DEFENSE OTHER: AMMUNITION (ENGINEERING DEVELOPMENT)
AD14,AMMUNITION (ENGINEERING)
AD15,R&D- DEFENSE OTHER: AMMUNITION (OPERATIONAL SYSTEMS DEVELOPMENT)
AD15,AMMUNITION (OPERATIONAL)
AD16,AMMUNITION (MANAGEMENT/SUPPORT)
AD16,R&D- DEFENSE OTHER: AMMUNITION (MANAGEMENT/SUPPORT)
AD17,R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED)
AD17,R&D-AMMUNITION-COMERCLIZ
AD20,R&D-SVCS
AD21,SERVICES (BASIC)
AD21,R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)
AD22,SERVICES (APPLIED/EXPLORATORY)
AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)
AD23,SERVICES (ADVANCED)
AD24,SERVICES (ENGINEERING)
AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)
AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)
AD25,SERVICES (OPERATIONAL)
AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)
AD26,SERVICES (MANAGEMENT/SUPPORT)
AD27,R&D-SVCS-COMERCLIZ
AD27,R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED)
AD30,R&D-SUBSISTENCE
AD31,SUBSISTENCE (BASIC)
AD31,R&D- DEFENSE OTHER: SUBSISTENCE (BASIC RESEARCH)
AD32,R&D- DEFENSE OTHER: SUBSISTENCE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD32,SUBSISTENCE (APPLIED/EXPLORATORY)
AD33,R&D- DEFENSE OTHER: SUBSISTENCE (ADVANCED DEVELOPMENT)
AD33,SUBSISTENCE (ADVANCED)
AD34,SUBSISTENCE (ENGINEERING)
AD34,R&D- DEFENSE OTHER: SUBSISTENCE (ENGINEERING DEVELOPMENT)
AD35,R&D- DEFENSE OTHER: SUBSISTENCE (OPERATIONAL SYSTEMS DEVELOPMENT)
AD35,SUBSISTENCE (OPERATIONAL)
AD36,R&D- DEFENSE OTHER: SUBSISTENCE (MANAGEMENT/SUPPORT)
AD36,SUBSISTENCE (MANAGEMENT/SUPPORT)
AD37,R&D- DEFENSE OTHER: SUBSISTENCE (COMMERCIALIZED)
AD37,R&D-SUBSISTENCE-COMERCLIZ
AD40,"R&D-TEXTILES,CLOTHING,ETC"
AD41,"R&D-TEXTILES,CLOTHING,ETC-B RES"
AD41,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (BASIC RESEARCH)
AD42,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD42,"R&D-TEXTILES,CLOTHING,ETC-A RES/EXP"
AD43,"R&D-TEXTILES,CLOTHING,ETC-ADV DEV"
AD43,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ADVANCED DEVELOPMENT)
AD44,"R&D-TEXTILES,CLOTHING,ETC-ENG DEV"
AD44,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT)
AD45,"R&D-TEXTILES,CLOTHING,ETC-OPSY DEV"
AD45,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (OPERATIONAL SYSTEMS DEVELOPMENT)
AD46,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (MANAGEMENT/SUPPORT)
AD46,"R&D-TEXTILES,CLOTHING,ETC-MGMT SUP"
AD47,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (COMMERCIALIZED)
AD47,"R&D-TEXTILES,CLOTHING,ETC-COMERCLIZ"
AD50,R&D-FUELS & LUBRICANTS
AD51,FUELS AND LUBRICANTS (BASIC)
AD51,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (BASIC RESEARCH)
AD52,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD52,R&D-FUELS & LUBRICANTS-A RES/EXPL D
AD53,FUELS AND LUBRICANTS (ADVANCED)
AD53,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (ADVANCED DEVELOPMENT)
AD54,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (ENGINEERING DEVELOPMENT)
AD54,FUELS AND LUBRICANTS (ENGINEERING)
AD55,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (OPERATIONAL SYSTEMS DEVELOPMENT)
AD55,FUELS AND LUBRICANTS (OPERATIONAL)
AD56,R&D-FUELS & LUBRICANTS-MGMT SUP
AD56,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (MANAGEMENT/SUPPORT)
AD57,R&D- DEFENSE OTHER: FUELS/LUBRICANTS (COMMERCIALIZED)
AD57,R&D-FUELS & LUBRICANTS-COMERCLIZ
AD60,R&D-CONSTRUCT
AD61,CONSTRUCTION (BASIC)
AD61,R&D- DEFENSE OTHER: CONSTRUCTION (BASIC RESEARCH)
AD62,R&D- DEFENSE OTHER: CONSTRUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD62,CONSTRUCTION (APPLIED/EXPLORATORY)
AD63,CONSTRUCTION (ADVANCED)
AD63,R&D- DEFENSE OTHER: CONSTRUCTION (ADVANCED DEVELOPMENT)
AD64,R&D- DEFENSE OTHER: CONSTRUCTION (ENGINEERING DEVELOPMENT)
AD64,CONSTRUCTION (ENGINEERING)
AD65,R&D- DEFENSE OTHER: CONSTRUCTION (OPERATIONAL SYSTEMS DEVELOPMENT)
AD65,CONSTRUCTION (OPERATIONAL)
AD66,CONSTRUCTION (MANAGEMENT/SUPPORT)
AD66,R&D- DEFENSE OTHER: CONSTRUCTION (MANAGEMENT/SUPPORT)
AD67,R&D- DEFENSE OTHER: CONSTRUCTION (COMMERCIALIZED)
AD67,R&D-CONSTRUCT-COMERCLIZ
AD90,R&D-OTHER DEFENSE
AD91,OTHER DEFENSE (BASIC)
AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH)
AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AD92,OTHER DEFENSE (APPLIED/EXPLORATORY)
AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)
AD93,OTHER DEFENSE (ADVANCED)
AD94,OTHER DEFENSE (ENGINEERING)
AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)
AD95,OTHER DEFENSE (OPERATIONAL)
AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AD96,R&D- DEFENSE OTHER: OTHER (MANAGEMENT/SUPPORT)
AD96,OTHER DEFENSE (MANAGEMENT/SUPPORT)
AD97,R&D- DEFENSE OTHER: OTHER (COMMERCIALIZED)
AD97,R&D-OTHER DEFENSE-COMERCLIZ
AE,ECONOMIC GROWTH/PRODUCTIVITY R&D
AE10,R&D-EMPL GROW-PRODUCTIVTY
AE11,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (BASIC RESEARCH)
AE11,R&D-EMPL GROW-PRODUCTIVTY-B RES
AE12,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE12,R&D-EMPL GROW-PRODUCTIVTY-A RES/EXP
AE13,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ADVANCED DEVELOPMENT)
AE13,R&D-EMPL GROW-PRODUCTIVTY-ADV DEV
AE14,R&D-EMPL GROW-PRODUCTIVTY-ENG DEV
AE14,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (ENGINEERING DEVELOPMENT)
AE15,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (OPERATIONAL SYSTEMS DEVELOPMENT)
AE15,R&D-EMPL GROW-PRODUCTIVTY-OPSY DEV
AE16,R&D-EMPL GROW-PRODUCTIVTY-MGMT SUP
AE16,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (MANAGEMENT/SUPPORT)
AE17,R&D-EMPL GROW-PRODUCTIVTY-COMERCLIZ
AE17,R&D- ECONOMIC GROWTH: EMPLOYMENT GROWTH/PRODUCTIVITY (COMMERCIALIZED)
AE20,R&D-PROD/SERV IMPROVEMENT
AE21,R&D-PROD/SERV IMPROVEMENT-B RES
AE21,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (BASIC RESEARCH)
AE22,R&D-PROD/SERV IMPROVEMENT-A RES/EXP
AE22,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE23,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ADVANCED DEVELOPMENT)
AE23,R&D-PROD/SERV IMPROVEMENT-ADV DEV
AE24,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (ENGINEERING DEVELOPMENT)
AE24,R&D-PROD/SERV IMPROVEMENT-ENG DEV
AE25,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (OPERATIONAL SYSTEMS DEVELOPMENT)
AE25,R&D-PROD/SERV IMPROVEMENT-OPSY DEV
AE26,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (MANAGEMENT/SUPPORT)
AE26,R&D-PROD/SERV IMPROVEMENT-MGMT SUP
AE27,R&D-PROD/SERV IMPROVEMENT-COMERCLIZ
AE27,R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (COMMERCIALIZED)
AE30,R&D-MANUFACTURING TECH
AE31,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (BASIC RESEARCH)
AE31,MANUFACTURING TECHNOLOGY (BASIC)
AE32,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE32,R&D-MANUFACTURING TECH-A RES/EXPL D
AE33,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ADVANCED DEVELOPMENT)
AE33,MANUFACTURING TECHNOLOGY (ADVANCED)
AE34,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (ENGINEERING DEVELOPMENT)
AE34,R&D-MANUFACTURING TECH-ENG DEV
AE35,R&D-MANUFACTURING TECH-OPSY DEV
AE35,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)
AE36,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (MANAGEMENT/SUPPORT)
AE36,R&D-MANUFACTURING TECH-MGMT SUP
AE37,R&D-MANUFACTURING TECH-COMERCLIZ
AE37,R&D- ECONOMIC GROWTH: MANUFACTURING TECHNOLOGY (COMMERCIALIZED)
AE90,R&D-ECON GROW-PRODUCTIVTY
AE91,R&D- ECONOMIC GROWTH: OTHER (BASIC RESEARCH)
AE91,R&D-ECON GROW-PRODUCTIVTY-B RES
AE92,R&D- ECONOMIC GROWTH: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AE92,R&D-ECON GROW-PRODUCTIVTY-A RES/EXP
AE93,R&D-ECON GROW-PRODUCTIVTY-ADV DEV
AE93,R&D- ECONOMIC GROWTH: OTHER (ADVANCED DEVELOPMENT)
AE94,R&D-ECON GROW-PRODUCTIVTY-ENG DEV
AE94,R&D- ECONOMIC GROWTH: OTHER (ENGINEERING DEVELOPMENT)
AE95,R&D-ECON GROW-PRODUCTIVTY-OPSY DEV
AE95,R&D- ECONOMIC GROWTH: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)
AE96,R&D-ECON GROW-PRODUCTIVTY-MGMT SUP
AE96,R&D- ECONOMIC GROWTH: OTHER (MANAGEMENT/SUPPORT)
AE97,R&D- ECONOMIC GROWTH: OTHER (COMMERCIALIZED)
AE97,R&D-ECON GROW-PRODUCTIVTY-COMERCLIZ
AF,EDUCATION R and D
AF,"Education, Training, Employment, and Social Services R&D Services"
AF10,R&D-EDUCATIONAL
AF11,R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)
AF11,EDUCATION (BASIC)
AF11,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; BASIC RESEARCH"
AF12,R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AF12,EDUCATION (APPLIED/EXPLORATORY)
AF12,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; APPLIED RESEARCH"
AF13,R&D- EDUCATION: EDUCATIONAL (ADVANCED DEVELOPMENT)
AF13,EDUCATION (ADVANCED)
AF13,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; EXPERIMENTAL DEVELOPMENT"
AF14,R&D- EDUCATION: EDUCATIONAL (ENGINEERING DEVELOPMENT)
AF14,EDUCATION (ENGINEERING)
AF14,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D ADMINISTRATIVE EXPENSES"
AF15,EDUCATION (OPERATIONAL)
AF15,R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AF15,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUC SVCS R&D; R&D FACILITIES & MAJ EQUIP"
AF16,EDUCATION (MANAGEMENT/SUPPORT)
AF16,R&D- EDUCATION: EDUCATIONAL (MANAGEMENT/SUPPORT)
AF17,R&D- EDUCATION: EDUCATIONAL (COMMERCIALIZED)
AF17,R&D-EDUCATIONAL-COMERCLIZ
AF21,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; BASIC RESEARCH"
AF22,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; APPLIED RESEARCH"
AF23,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D; TRAINING & LABOR R&D; EXPERIMENTAL DEVELOPMENT"
AF24,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; TRAINING & LABOR R&D; R&D ADMIN EXPENSES"
AF25,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D; TRAINING & LABOR R&D; R&D FACILITIES & MAJ EQUIP"
AF31,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; BASIC RESEARCH"
AF32,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; APPLIED RESEARCH"
AF33,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; EXPERIMENTAL DEVELOPMENT"
AF34,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; R&D ADMINISTRATIVE EXPENSES"
AF35,"EDUCATION, TRAINING, EMPLOYMENT & SOCIAL SVCS R&D SVCS; SOCIAL SVCS R&D; R&D FACILITIES & MAJ EQUIP"
AG,ENERGY R&D
AG,Energy R&D Services
AG10,R&D-ENERGY - COAL
AG11,COAL (BASIC)
AG11,R&D- ENERGY: COAL (BASIC RESEARCH)
AG11,ENERGY R&D SERVICES; ENERGY SUPPLY; BASIC RESEARCH
AG12,R&D- ENERGY: COAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG12,COAL (APPLIED/EXPLORATORY)
AG12,ENERGY R&D SERVICES; ENERGY SUPPLY; APPLIED RESEARCH
AG13,COAL (ADVANCED)
AG13,R&D- ENERGY: COAL (ADVANCED DEVELOPMENT)
AG13,ENERGY R&D SERVICES; ENERGY SUPPLY; EXPERIMENTAL DEVELOPMENT
AG14,COAL (ENGINEERING)
AG14,R&D- ENERGY: COAL (ENGINEERING DEVELOPMENT)
AG14,ENERGY R&D SERVICES; ENERGY SUPPLY; R&D ADMINISTRATIVE EXPENSES
AG15,COAL (OPERATIONAL)
AG15,R&D- ENERGY: COAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AG15,ENERGY R&D SERVICES; ENERGY SUPPLY; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT
AG16,COAL (MANAGEMENT/SUPPORT)
AG16,R&D- ENERGY: COAL (MANAGEMENT/SUPPORT)
AG17,R&D- ENERGY: COAL (COMMERCIALIZED)
AG17,R&D-ENERGY - COAL-COMERCLIZ
AG20,R&D-ENERGY - GAS
AG21,GAS (BASIC)
AG21,R&D- ENERGY: GAS (BASIC RESEARCH)
AG21,ENERGY R&D SERVICES; ENERGY CONSERVATION; BASIC RESEARCH
AG22,GAS (APPLIED/EXPLORATORY)
AG22,R&D- ENERGY: GAS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG22,ENERGY R&D SERVICES; ENERGY CONSERVATION; APPLIED RESEARCH
AG23,GAS (ADVANCED)
AG23,R&D- ENERGY: GAS (ADVANCED DEVELOPMENT)
AG23,ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPERIMENTAL DEVELOPMENT
AG24,R&D- ENERGY: GAS (ENGINEERING DEVELOPMENT)
AG24,GAS (ENGINEERING)
AG24,ENERGY R&D SERVICES; ENERGY CONSERVATION; R&D ADMINISTRATIVE EXPENSES
AG25,GAS (OPERATIONAL)
AG25,R&D- ENERGY: GAS (OPERATIONAL SYSTEMS DEVELOPMENT)
AG25,ENERGY R&D SERVICES; ENERGY CONSERVATION; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT
AG26,R&D- ENERGY: GAS (MANAGEMENT/SUPPORT)
AG26,GAS (MANAGEMENT/SUPPORT)
AG27,R&D- ENERGY: GAS (COMMERCIALIZED)
AG27,R&D-ENERGY - GAS-COMERCLIZ
AG30,R&D-ENERGY - GEOTHERMAL
AG31,R&D- ENERGY: GEOTHERMAL (BASIC RESEARCH)
AG31,GEOTHERMAL (BASIC)
AG31,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; BASIC RESEARCH
AG32,R&D- ENERGY: GEOTHERMAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG32,GEOTHERMAL (APPLIED/EXPLORATORY)
AG32,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; APPLIED RESEARCH
AG33,GEOTHERMAL (ADVANCED)
AG33,R&D- ENERGY: GEOTHERMAL (ADVANCED DEVELOPMENT)
AG33,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPERIMENTAL DEVELOPMENT
AG34,GEOTHERMAL (ENGINEERING)
AG34,R&D- ENERGY: GEOTHERMAL (ENGINEERING DEVELOPMENT)
AG34,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; R&D ADMINISTRATIVE EXPENSES
AG35,GEOTHERMAL (OPERATIONAL)
AG35,R&D- ENERGY: GEOTHERMAL (OPERATIONAL SYSTEMS DEVELOPMENT)
AG35,ENERGY R&D SERVICES; EMERGENCY ENERGY PREPAREDNESS; EXPENSES FOR R&D FACILITIES AND MAJOR EQUIPMENT
AG36,GEOTHERMAL (MANAGEMENT/SUPPORT)
AG36,R&D- ENERGY: GEOTHERMAL (MANAGEMENT/SUPPORT)
AG37,R&D- ENERGY: GEOTHERMAL (COMMERCIALIZED)
AG37,R&D-ENERGY - GEOTHERMAL-COMERCLIZ
AG40,R&D-ENERGY - WIND
AG41,WIND ENERGY (BASIC)
AG41,R&D- ENERGY: WIND (BASIC RESEARCH)
AG41,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; BASIC RESEARCH"
AG42,R&D- ENERGY: WIND (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG42,WIND ENERGY (APPLIED/EXPLORATORY)
AG42,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; APPLIED RESEARCH"
AG43,WIND ENERGY (ADVANCED)
AG43,R&D- ENERGY: WIND (ADVANCED DEVELOPMENT)
AG43,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; EXPERIMENTAL DEVELOPMENT"
AG44,WIND ENERGY (ENGINEERING)
AG44,R&D- ENERGY: WIND (ENGINEERING DEVELOPMENT)
AG44,"ENERGY R&D SERVICES; ENERGY INFORMATION, POLICY AND REGULATION; R&D ADMINISTRATIVE EXPENSES"
AG45,WIND ENERGY (OPERATIONAL)
AG45,R&D- ENERGY: WIND (OPERATIONAL SYSTEMS DEVELOPMENT)
AG45,"ENERGY R&D SVCS; ENERGY INFORMATION, POLICY & REGULATION; R&D FACILITIES & MAJ EQUIP"
AG46,R&D- ENERGY: WIND (MANAGEMENT/SUPPORT)
AG46,WIND ENERGY (MANAGEMENT/SUPPORT)
AG47,R&D- ENERGY: WIND (COMMERCIALIZED)
AG47,R&D-ENERGY - WIND-COMERCLIZ
AG50,R&D-ENERGY - NUCLEAR
AG51,R&D- ENERGY: NUCLEAR (BASIC RESEARCH)
AG51,NUCLEAR (BASIC)
AG52,R&D- ENERGY: NUCLEAR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG52,NUCLEAR (APPLIED/EXPLORATORY)
AG53,NUCLEAR (ADVANCED)
AG53,R&D- ENERGY: NUCLEAR (ADVANCED DEVELOPMENT)
AG54,NUCLEAR (ENGINEERING)
AG54,R&D- ENERGY: NUCLEAR (ENGINEERING DEVELOPMENT)
AG55,NUCLEAR (OPERATIONAL)
AG55,R&D- ENERGY: NUCLEAR (OPERATIONAL SYSTEMS DEVELOPMENT)
AG56,NUCLEAR (MANAGEMENT/SUPPORT)
AG56,R&D- ENERGY: NUCLEAR (MANAGEMENT/SUPPORT)
AG57,R&D-ENERGY - NUCLEAR-COMERCLIZ
AG57,R&D- ENERGY: NUCLEAR (COMMERCIALIZED)
AG60,R&D-ENERGY - PETROLEUM
AG61,PETROLEUM (BASIC)
AG61,R&D- ENERGY: PETROLEUM (BASIC RESEARCH)
AG62,R&D- ENERGY: PETROLEUM (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG62,PETROLEUM (APPLIED/EXPLORATORY)
AG63,R&D- ENERGY: PETROLEUM (ADVANCED DEVELOPMENT)
AG63,PETROLEUM (ADVANCED)
AG64,R&D- ENERGY: PETROLEUM (ENGINEERING DEVELOPMENT)
AG64,PETROLEUM (ENGINEERING)
AG65,R&D- ENERGY: PETROLEUM (OPERATIONAL SYSTEMS DEVELOPMENT)
AG65,PETROLEUM (OPERATIONAL)
AG66,PETROLEUM (MANAGEMENT/SUPPORT)
AG66,R&D- ENERGY: PETROLEUM (MANAGEMENT/SUPPORT)
AG67,R&D- ENERGY: PETROLEUM (COMMERCIALIZED)
AG67,R&D-ENERGY - PETROLEUM-COMERCLIZ
AG70,R&D-ENERGY - SOLAR/PHOTOVOLTAIC
AG71,SOLAR/PHOTOVOLTAIC (BASIC)
AG71,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (BASIC RESEARCH)
AG72,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)
AG72,R&D-ENERGY - SOLAR/PHOTOVOLTAIC-A R
AG73,SOLAR/PHOTOVOLTAIC (ADVANCED)
AG73,R&D- ENERGY: SOLAR/PHOTOVOLTAIC (ADVANCED DEVELOPMENT)
